hq_location,team_name,abbreviation,owner,type,first_season,region
Los Angeles,100 Thieves,100T,"100 Thieves, LLC.",Partner,2023,AMER
Los Angeles,Cloud9,C9,"Cloud9 Esports, Inc.",Partner,2023,AMER
Seattle,Evil Geniuses,EG,"Evil Geniuses, LLC.",Partner,2023,AMER
Uberlândia,FURIA Esports,FUR,FURIA Esports,Partner,2023,AMER
Buenos Aires,KRU Esports,KRU,Slak Esports Europa S.L.,Partner,2023,AMER
Buenos Aires,Leviatan,LEV,Leviatan GG S.R.L.,Partner,2023,AMER
São Paulo,LOUD,LOUD,LOUD Ltd.,Partner,2023,AMER
São Paulo,MIBR,MIBR,Immortals Gaming Club,Partner,2023,AMER
Los Angeles,NRG,NRG,"Hard Carry Gaming, Inc.",Partner,2023,AMER
Los Angeles,Sentinels,SEN,Sentinels Corporation,Partner,2023,AMER
Berlin,G2 Esports,G2,G Esports Holding GmbH.,Ascended,2024,EMEA
Istanbul,BBL Esports,BBL,BBL Esports,Partner,2023,EMEA
London,Fnatic,FNC,Fnatic Ltd.,Partner,2023,EMEA
Istanbul,FUT Esports,FUT,Futbolist Sportif Hizmetler A.S.,Partner,2023,EMEA
Paris,Karmine Corp,KC,Karmine Corp SAS,Partner,2023,EMEA
Barcelona,KOI,KOI,OverActive Media Corp.,Partner,2023,EMEA
Kyiv,Natus Vincere,NAVI,Natus Vincere Esport CY Ltd.,Partner,2023,EMEA
Madrid,Team Heretics,TH,Team Heretics S.L.,Partner,2023,EMEA
Utrecht,Team Liquid,TL,"aXiomatic Gaming, LLC.",Partner,2023,EMEA
Paris,Team Vitality,VIT,Team Vitality,Partner,2023,EMEA
Paris,Gentle Mates,GM,OZI,Ascended,2024,EMEA
Málaga,GIANTX,GIA,JRJ Group,Partner,2024,EMEA
Tokyo,DetonatioN FocusMe,DFM,"DetonatioN, Inc.",Partner,2023,APAC
Seoul,DRX,DRX,DRX Corp.,Partner,2023,APAC
Seoul,Gen.G Esports,GEN,"KSV eSports Korea, Inc.",Partner,2023,APAC
Mumbai,Global Esports,GE,Global Esports,Partner,2023,APAC
Singapore,Paper Rex,PRX,IMPLS Entertainment Pte Ltd.,Partner,2023,APAC
Jakarta,Rex Regum Qeon,RRQ,PT. Qeon Interactive,Partner,2023,APAC
Seoul,T1,T1,"SK Telecom CS T1 Co., Ltd.",Partner,2023,APAC
Hong Kong,Talon Esports,TAL,Talon Esports Ltd.,Partner,2023,APAC
Quezon City,Team Secret,TS,"Secret Esports, LLC.",Partner,2023,APAC
Tokyo,ZETA DIVISION,ZETA,"GANYMEDE, Inc.",Partner,2023,APAC
Singapore,Bleed Esports,BLEED,Bleed Esports,Ascended,2024,APAC
Chengdu,All Gamers,AG,Orinno Capital,Partner,2024,CN
Shanghai,Bilibili Gaming,BLG,"Bilibili, Inc.",Partner,2024,CN
Shenzhen,EDward Gaming,EDG,Edward Gaming,Partner,2024,CN
Beijing,FunPlus Phoenix,FPX,FunPlus,Partner,2024,CN
Beijing,JD Gaming,JDG,"JD.com, Inc.",Partner,2024,CN
Fuzhou,Nova Esports,NOVA,Imperium Group,Partner,2024,CN
Changsha,Titan Esports Club,TIT,Titan Sports,Partner,2024,CN
Shenzhen,Trace Esports,TRACE,Trace Culture,Partner,2024,CN
Hangzhou,TYLOO,TYL,Tailu Technology Ltd.,Partner,2024,CN
Chongqing,Wolves Esports,WOLVES,Fosun International Ltd.,Partner,2024,CN
Foshan,Dragon Ranger Gaming,DRG,Renren Sports Culture,Ascended,2024,CN
