participantMapping.1,fullName,kills,deaths,assists,KDA_ratio
106116440965658227,Erick  'aspas' Marmo,252,108,0,2.3333333333333335
106116440965658227,Erick 'aspas' Marmo,588,252,0,2.3333333333333335
106116440965658227,Erick 'aspas' Santos,336,144,0,2.3333333333333335
106229920360816436,Tyson  'TenZ' Ngo,24,8,4,3.5
106229920360816436,Tyson 'TenZ' Ngo,96,32,16,3.5
106230224874717841,Elias  'Jamppi' Olkkonen ,128,256,0,0.5
106230224874717841,Elias 'Jamppi' Olkkonen ,576,1152,0,0.5
106230274512017155,James  'Mistic' Orfila,195,39,0,5.0
106230274512017155,James 'Mistic' Orfila,1170,234,0,5.0
106490001132942692,Marco  'Melser' Machuca,24,36,12,1.0
106490001132942692,Marco 'Melser' Machuca,144,216,72,1.0
106490001132942692,Marco Eliot 'Melser' Machuca Almaro,48,72,24,1.0
106490001132942692,Marco Eliot 'Melser' Machuca Amaro,72,108,36,1.0
106525414942310346,Brendan 'BcJ' Jensen,360,120,120,4.0
106525473804840689,Austin 'crashies' Roberts,567,0,63,
106532686424986077,Byungchul  'BuZz' Yoo,91,39,26,3.0
106532686424986077,Byungchul 'BuZz' Yoo,637,273,182,3.0
106532686424986077,Yu 'BuZz' Byung-chul,182,78,52,3.0
106651749419114537,Adolfo  'Fit1nho' Gallego,539,231,77,2.6666666666666665
106651749419114537,Adolfo 'Fit1nho' Gallego,3773,1617,539,2.6666666666666665
106651779012842654,Pontus  'Zyppan' Eek,376,0,94,
106651779012842654,Pontus 'Zyppan' Eek,2632,0,658,
106651780552777811,Dmitriy  'dimasick' Matvienko,10,20,10,1.0
106651780552777811,Dmitriy 'dimasick' Matvienko,60,120,60,1.0
106651793396690606,Saif  'Sayf' Jibraeel,72,24,12,3.5
106651793396690606,Saif 'Sayf' Jibraeel,396,132,66,3.5
106651830913232582,Ata 'ATA KAPTAN' Tan,640,960,320,1.0
106651846714581139,Doğukan 'qRaxs' Balaban,1710,0,0,
106651921416344818,Serhat 'Muj' Yüksel,400,200,0,2.0
106651978230682922,Eren 'Brave' Kasırga,1316,1974,658,1.0
106652047423889687,Dmitrii 'suygetsu' Iliushin,273,117,39,2.6666666666666665
106652047423889687,Dmitry  'suygetsu' Ilyushin,91,39,13,2.6666666666666665
106652047423889687,Dmitry 'SUYGETSU' Ilyushin,273,117,39,2.6666666666666665
106652047423889687,Dmitry 'suygetsu' Ilyushin,455,195,65,2.6666666666666665
106652148735956386,Timofey  'Chronicle' Khromov,528,176,0,3.0
106652148735956386,Timofey 'Chronicle' Khromov,3696,1232,0,3.0
106652153897244072,Bogdan  'Sheydos' Naumov,56,84,56,1.3333333333333333
106652153897244072,Bogdan 'Sheydos' Naumov,336,504,336,1.3333333333333333
106668472978208449,Cahya  'Monyet' Nugraha,18,0,0,
106668472978208449,Cahya 'Monyet' Nugraha,162,0,0,
106668472978208449,I MADE ADHI CAHYA  'Monyet' NUGRAHA,36,0,0,
106668472978208449,I MADE ADHI CAHYA  'monyet' NUGRAHA,18,0,0,
107723772674746660,Dominykas 'MiniBoo' Lukaševičius,0,228,0,0.0
107729645884517702,Alexandre 'XMS' Forte,112,168,56,1.0
107729648820931094,Kimmie 'Kicks' Laasner,348,0,87,
107735297326632949,Nikita 'Trexx' Cherednichenko,468,0,0,
107735297326632949,Nikita 'trexx' Cherednichenko,1170,0,0,
107735298728316922,Ričardas  'Boo' Lukaševičius,138,207,0,0.6666666666666666
107735298728316922,Ričardas 'Boo' Lukaševičius,368,552,0,0.6666666666666666
107735300473140442,Tomas  'Destrian' Linikas,186,279,0,0.6666666666666666
107735300473140442,Tomas 'Destrian' Linikas,496,744,0,0.6666666666666666
107876440210025807,Eray 'yetujey' Budak,105,45,15,2.6666666666666665
107876440210025807,Eren 'yetujey' Budak,70,30,10,2.6666666666666665
108695550169204401,Shunzhi  'CHICHOO' Wan,2,4,4,1.5
108695550169204401,Shunzhi 'CHICHOO' Wan,14,28,28,1.5
109636687572182162,Locart 'Wailers' Wailers,84,126,42,1.0
109636687572182162,Wailers 'Wailers' Locart,252,378,126,1.0
109715242528483605,RYAD 'Shin ' ENSAAD,460,92,184,7.0
109715242528483605,Ryad 'Shin ' Ensaad,230,46,92,7.0
109715242528483605,Ryad 'sh1n' Ensaad,690,138,276,7.0
